hcp_id,hcp_name,hcp_address,hcp_specialty,total_patients,diagnosed_patients,treated_patients,male_patients,female_patients,unknown_patients,new_patients,claims_count,male_claims,female_claims,unknown_claims,nrx,trx,cash,commercial,Aetna,Blue Cross,Cigna,UnitedHealthcare,Medicare,Medicaid,BrandA,BrandB,BrandC,planned_calls,calls_made,patient_count_2024-01,patient_count_2024-02,patient_count_2024-03,patient_count_2024-04,patient_count_2024-05,patient_count_2024-06,patient_count_2024-07,patient_count_2024-08,patient_count_2024-09,patient_count_2024-10,patient_count_2024-11,patient_count_2024-12,claim_count_2024-01,claim_count_2024-02,claim_count_2024-03,claim_count_2024-04,claim_count_2024-05,claim_count_2024-06,claim_count_2024-07,claim_count_2024-08,claim_count_2024-09,claim_count_2024-10,claim_count_2024-11,claim_count_2024-12,notes,call_date
HCP0001,Michael Jackson,"Unit 9800 Box 5718, DPO AP 91534, Georgemouth, Wisconsin 77384",Oncology,518,413,150,257,143,118,259,272,56,193,23,50,153,125,587,9,37,220,101,118,102,164,18,153,9,5,37,4,11,4,42,35,29,18,21,36,42,20,14,11,15,7,13,13,18,1,15,11,7,12,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND A was 7.2 percent (164 scripts) in the past 1 year.",2025-12-25
HCP0002,Richard Rodriguez,"45175 Brennan Road, Shannonstad, KY 03363, New Ashleyton, South Dakota 75795",Pediatrics,262,90,86,117,65,80,64,155,49,88,18,142,147,98,854,122,216,56,57,200,203,109,85,131,18,5,6,2,21,2,3,10,13,9,21,7,20,19,0,1,5,11,5,3,9,2,1,3,10,9,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND A was -25.9 percent (109 scripts) in the past 1 year.",2025-10-22
HCP0003,Larry Taylor,"8767 Rodriguez Mission, Taylorton, VA 18261, Port Richardhaven, North Carolina 57015",Oncology,130,73,44,25,41,64,49,123,15,14,94,123,123,48,297,56,17,105,63,5,51,27,33,78,18,1,10,0,1,1,6,1,8,9,4,10,9,6,5,5,10,8,9,7,1,8,0,3,9,6,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND A was -78.0 percent (27 scripts) in the past 1 year.",2025-08-02
HCP0004,Jeffery Wells,"250 Victoria Mission Suite 004, Martinborough, ME 52549, East Sarah, Tennessee 99554",Pediatrics,552,313,128,59,491,2,49,476,114,103,259,244,429,15,1966,295,405,202,211,443,410,292,101,260,11,6,35,7,17,7,9,0,40,42,22,3,17,9,38,33,37,15,2,7,0,18,23,35,16,7,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND A was -31.9 percent (292 scripts) in the past 1 year.",2025-12-31
HCP0005,Curtis May,"PSC 2074, Box 5421, APO AA 63521, Haroldhaven, Illinois 80404",Radiology,931,540,267,873,37,21,21,304,156,116,32,283,288,282,3687,853,914,423,448,762,287,148,25,132,5,2,61,31,28,74,66,20,51,23,53,61,71,18,13,3,12,5,17,18,20,19,3,4,23,24,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND A was -48.6 percent (148 scripts) in the past 1 year.",2025-02-21
HCP0006,Richard Herrera MD,"970 Pham Ranch Apt. 104, South Megan, VA 74515, East Kellyhaven, New Jersey 95899",Endocrinology,463,156,147,119,55,289,129,269,81,121,67,226,232,73,1277,361,215,269,117,280,35,242,127,180,8,3,24,31,5,15,9,26,34,10,30,21,33,2,6,1,5,19,7,6,2,16,17,13,6,18,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND A was 4.3 percent (242 scripts) in the past 1 year.",2025-04-19
HCP0007,Patricia Owens,"PSC 1509, Box 2471, APO AE 83773, East Latoya, New Mexico 27665",Neurology,618,148,64,362,139,117,290,140,69,28,43,90,103,281,1340,45,145,242,243,234,431,106,13,23,20,0,3,42,32,0,31,14,46,9,29,5,20,32,6,2,9,5,10,5,5,9,2,0,1,7,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND A was 2.9 percent (106 scripts) in the past 1 year.",2025-09-16
HCP0008,Mark Mcconnell,"6540 Mackenzie Crescent, Millerport, VA 97124, North Heather, Vermont 61823",Radiology,260,185,130,7,226,27,74,205,159,39,7,68,151,76,808,38,112,210,133,160,155,48,101,103,7,5,7,11,19,16,4,15,11,14,16,5,13,6,6,9,12,17,10,11,16,10,11,4,4,7,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND A was -68.2 percent (48 scripts) in the past 1 year.",2025-03-25
HCP0009,Kristine Cervantes,"2155 Danielle Spur, Josephberg, IL 01249, Kathleenview, Nevada 65834",Oncology,608,239,237,371,20,217,105,300,105,28,167,128,249,164,1369,483,76,352,6,372,80,235,58,92,7,7,10,23,7,19,18,16,8,47,43,39,9,13,2,10,25,6,22,13,23,15,19,5,19,25,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND A was -5.6 percent (235 scripts) in the past 1 year.",2025-05-27
HCP0010,Nicholas Lewis,"04307 Sean Corners Suite 440, Port Edwinfurt, VA 45420, Burkeshire, South Carolina 07086",Dermatology,840,398,178,819,7,14,61,690,175,49,466,567,622,231,3000,403,282,544,271,798,702,388,538,44,19,14,24,38,22,51,61,40,34,36,25,56,67,31,18,1,31,25,47,30,20,33,19,53,54,26,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND A was -37.6 percent (388 scripts) in the past 1 year.",2025-03-18
HCP0011,Erin Andrews,"85092 Martin Cliff, East Thomaschester, PA 07265, Valdezfurt, Ohio 98219",Psychiatry,982,791,156,0,263,719,365,683,580,12,91,525,578,372,3106,370,478,528,823,861,46,370,225,659,9,4,11,37,35,34,78,32,10,31,26,1,60,69,10,23,47,6,34,48,6,46,53,53,39,3,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND A was -36.0 percent (370 scripts) in the past 1 year.",2025-11-11
HCP0012,Chris Lawson,"93329 Raven Cove Suite 987, North Valerie, IN 22991, Maryville, Washington 34381",Cardiology,847,317,139,250,579,18,193,842,610,54,178,688,768,337,2788,623,192,660,468,244,601,243,82,466,15,2,12,6,60,62,30,48,6,50,12,17,45,6,45,40,38,58,42,8,26,11,65,47,31,65,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND A was -68.4 percent (243 scripts) in the past 1 year.",2025-10-09
HCP0013,William Jacobs,"051 Henry Fields Suite 808, West Jenniferstad, DC 51503, West Justin, New York 79250",Psychiatry,397,312,194,242,56,99,180,307,241,60,6,156,307,68,1410,41,310,141,397,230,291,59,40,116,6,3,0,10,33,26,16,9,27,15,16,25,8,10,9,6,18,23,14,23,18,18,24,5,23,0,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND A was -80.8 percent (59 scripts) in the past 1 year.",2025-11-17
HCP0014,John Hansen,"9991 Mary Rue Suite 122, Bowersstad, NJ 06967, West Lori, Colorado 87746",Cardiology,239,135,46,71,109,59,116,147,55,88,4,16,57,103,672,230,39,109,76,83,135,13,116,92,15,11,14,16,7,11,4,8,12,14,19,5,17,0,1,9,10,2,3,5,4,10,4,8,5,11,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND A was -77.2 percent (13 scripts) in the past 1 year.",2025-09-10
HCP0015,Troy Smith,"08184 John Haven, West Kathleen, MO 93749, Mooreton, Wisconsin 44774",Dermatology,466,285,136,210,88,168,68,442,400,40,2,405,410,183,1850,394,197,368,462,140,289,44,177,337,20,12,36,33,2,35,1,34,36,3,33,9,25,34,32,6,34,19,10,27,11,34,18,7,9,13,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND A was -89.3 percent (44 scripts) in the past 1 year.",2025-01-07
HCP0016,Richard Woods,"4658 Duane Trafficway Suite 685, Smithstad, ID 13766, New Patricktown, Louisiana 83906",Oncology,364,224,34,144,112,108,110,249,192,53,4,133,208,69,879,51,315,105,59,54,295,59,17,172,10,9,19,29,10,11,1,21,25,20,27,27,14,5,19,8,16,4,14,17,0,11,14,12,9,14,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND A was -71.6 percent (59 scripts) in the past 1 year.",2025-05-13
HCP0017,Desiree Mayo,"7137 Douglas Lane, Wendyland, LA 58961, Johnport, Ohio 89908",Cardiology,144,52,30,39,65,40,30,131,2,110,19,78,108,62,539,98,86,131,120,72,32,57,81,97,15,0,5,1,9,12,3,4,8,8,10,3,6,12,1,1,10,9,9,4,3,5,0,7,5,9,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND A was -47.2 percent (57 scripts) in the past 1 year.",2025-06-10
HCP0018,Brandon Hall,"16787 Martinez Common, West Lisa, MO 30924, West Ethanberg, Arizona 81227",Dermatology,249,126,101,230,10,9,92,199,64,85,50,194,194,22,491,220,81,32,62,76,20,136,84,17,5,2,0,9,20,7,14,5,16,6,7,14,4,18,16,12,3,3,16,4,2,1,16,13,13,2,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -29.9 percent (136 scripts) in the past 1 year.",2025-06-08
HCP0019,Sheila Williams,"USNV Phillips, FPO AA 91611, Justinland, New York 32521",Neurology,307,194,31,195,32,80,132,285,229,39,17,252,256,18,703,271,11,16,138,249,18,66,203,246,19,17,7,21,0,1,6,24,5,4,1,10,25,10,12,15,5,8,18,22,16,13,22,5,18,7,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND B was -74.2 percent (66 scripts) in the past 1 year.",2025-07-22
HCP0020,Frances Leblanc,"44770 Blankenship Lake, Singletonmouth, PW 29993, Lake Ericton, California 68646",Gastroenterology,309,233,193,160,99,50,49,176,77,14,85,169,170,125,690,209,118,19,62,125,157,102,65,10,14,1,2,0,17,15,19,0,11,3,0,13,3,6,8,12,4,1,13,13,7,12,3,2,7,7,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -40.0 percent (102 scripts) in the past 1 year.",2025-07-27
HCP0021,Meghan Davis,"4161 Valencia Gardens, New Steven, DE 27658, Lake David, Iowa 44492",Radiology,408,136,42,408,0,0,21,353,220,122,11,232,333,164,714,24,11,183,66,387,43,149,257,188,5,1,34,0,12,23,6,4,13,19,1,16,32,13,5,9,1,3,1,25,14,5,3,11,25,12,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND B was -55.3 percent (149 scripts) in the past 1 year.",2025-01-01
HCP0022,Holly Barry,"47546 Tran Locks, Port Paul, CA 72727, Kerrmouth, New Mexico 63060",Psychiatry,723,356,221,279,82,362,299,571,497,16,58,54,518,303,1590,40,240,396,399,37,478,383,153,409,8,5,9,60,20,20,34,3,51,39,16,20,44,48,29,11,40,19,6,14,42,9,14,11,45,37,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -26.1 percent (383 scripts) in the past 1 year.",2025-11-11
HCP0023,Curtis Miller,"7913 Wilson Spurs Suite 335, Sierrafort, FM 99373, North Joel, New Mexico 44067",Dermatology,811,511,494,434,268,109,21,531,383,37,111,165,404,332,1501,483,102,444,194,162,116,101,5,45,12,6,43,7,14,52,42,0,0,63,60,46,11,55,0,32,35,26,7,13,19,3,15,44,6,44,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -75.0 percent (101 scripts) in the past 1 year.",2025-01-06
HCP0024,Brian Gibson,"PSC 7476, Box 3932, APO AA 41299, Davidborough, Maryland 76472",Psychiatry,507,497,45,73,326,108,93,294,52,216,26,285,290,66,1851,447,192,432,379,209,192,44,133,12,14,0,13,10,2,21,26,15,13,7,11,38,16,39,17,21,3,6,1,2,16,6,11,15,6,16,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND B was -84.8 percent (44 scripts) in the past 1 year.",2025-08-18
HCP0025,Kayla Miller,"45479 Elizabeth Common, Brownhaven, LA 43989, Davidchester, Oklahoma 20699",Urology,938,413,262,618,75,245,306,631,485,70,76,126,155,266,3159,807,804,471,140,197,740,576,230,327,7,7,17,67,57,45,35,24,57,32,35,6,64,78,15,45,41,30,52,16,50,26,20,22,2,43,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was 271.6 percent (576 scripts) in the past 1 year.",2025-06-26
HCP0026,Amanda Kemp,"15624 Johnson Branch, Lake Michael, CA 56246, Griffithmouth, Mississippi 71525",Radiology,837,695,576,81,398,358,216,298,150,37,111,263,269,246,2347,351,814,121,201,811,49,215,108,169,10,2,66,29,39,39,43,56,23,55,24,13,22,69,0,24,18,7,21,9,21,22,14,13,1,4,"HCP has confirmed patient with Disease A. For this HCP, the TRx change for BRAND B was -20.1 percent (215 scripts) in the past 1 year.",2025-10-16
HCP0027,Edward Weber,"03820 Bennett Ports Suite 660, New Roberto, IL 17861, Lake Justin, Connecticut 94013",Oncology,934,353,74,324,518,92,395,71,29,15,27,37,65,432,3425,800,554,229,607,717,518,9,70,22,20,10,10,1,22,1,22,29,48,37,63,11,45,69,2,4,0,5,2,4,2,5,5,5,4,5,"HCP has confirmed patient with Disease A. This HCP refers NSCLC patients out to other specialists for treatment/may not treat NSCLC. For this HCP, the TRx change for BRAND B was -86.2 percent (9 scripts) in the past 1 year.",2025-12-04
